ingresos,gastos,Clase
0.878946498,0.989887456,2
0.832906702,0.819617421,2
0.970834752,0.878633787,2
0.955343915,0.906542974,2
0.984046294,0.968267361,2
0.750072671,0.874880493,2
0.815083156,0.976341436,2
0.72482792,0.952927691,2
0.905639003,0.925806143,2
0.907978922,0.929440059,2
0.987299904,0.861746491,2
0.844878334,0.819760319,2
0.80719346,0.874617173,2
0.870774415,0.855621155,2
0.770990029,0.942398182,2
0.890767613,0.877801404,2
0.945413477,0.915550853,2
0.824734182,0.818729528,2
0.935505232,0.992339403,2
0.732727426,0.900007319,2
0.838989797,0.847617825,2
0.769456274,0.859067378,2
0.819540741,0.998393992,2
0.761052207,0.956355792,2
0.809062341,0.9275822,2
0.940620108,0.84976963,2
0.90429312,0.987166856,2
0.87811924,0.980745396,2
0.968759475,0.929329629,2
0.914723903,0.966576821,2
0.768049208,0.92736592,2
0.737478309,0.955079655,2
0.822231353,0.87759745,2
0.8471543,0.91519445,2
0.798492997,0.927494277,2
0.918110908,0.920780595,2
0.915509889,0.919682632,2
0.791051206,0.860977618,2
0.794091173,0.827360838,2
0.959229599,0.892841933,2
0.859900189,0.844620378,2
0.993399514,0.900136425,2
0.850555309,0.901921331,2
0.748340406,0.962702716,2
0.997136075,0.939137443,2
0.854988121,0.928418775,2
0.983905667,0.864903263,2
0.922449603,0.931352036,2
0.828916682,0.855387755,2
0.941014754,0.914642616,2
0.893285946,0.882394985,2
0.981191598,0.81401915,2
0.865541779,0.915958122,2
0.764973474,0.982272092,2
0.747188503,0.913111811,2
0.785002852,0.986688351,2
0.92789076,0.950044734,2
0.830854529,0.831575415,2
0.303097157,0.466868264,3
0.534827701,0.505132928,3
0.6172708,0.598787339,3
0.521352778,0.543728205,3
0.702471191,0.536690268,3
0.536749647,0.56664283,3
0.630740666,0.583111726,3
0.607919842,0.419242526,3
0.62556781,0.56684435,3
0.597890871,0.401043003,3
0.586803442,0.594673438,3
0.658206675,0.492765697,3
0.518230086,0.404687846,3
0.459964717,0.653311663,3
0.381331813,0.428665533,3
0.701668089,0.522432248,3
0.551738906,0.536966075,3
0.511205537,0.616242336,3
0.359634361,0.479767253,3
0.596853659,0.65371342,3
0.402525504,0.406780524,3
0.518097587,0.385370349,3
0.657066261,0.487408702,3
0.62820031,0.406737274,3
0.362199346,0.590825987,3
0.439019223,0.50863126,3
0.73120105,0.503091826,3
0.328219286,0.463189225,3
0.500500848,0.44691921,3
0.480326831,0.666490906,3
0.630360218,0.535644412,3
0.551035185,0.542748461,3
0.600846231,0.501800111,3
0.358669998,0.523074762,3
0.557325181,0.412993782,3
0.480064781,0.491097258,3
0.684645712,0.543026668,3
0.52801433,0.503489848,3
0.31321731,0.514654078,3
0.555567652,0.594522117,3
0.365919935,0.54234133,3
0.601227405,0.529734095,3
0.479172149,0.685445462,3
0.389483634,0.555384375,3
0.718286713,0.541758983,3
0.688572466,0.427969751,3
0.671322446,0.610667572,3
0.595154865,0.40979898,3
0.495737145,0.607102452,3
0.332829894,0.524310838,3
0.603051431,0.555090167,3
0.621105406,0.532617098,3
0.368520097,0.591976742,3
0.577889602,0.497144087,3
0.625295051,0.446896574,3
0.638813607,0.571853567,3
0.601981278,0.473960946,3
0.483960495,0.384612876,3
0.505706,0.531910088,3
0.668684284,0.604221821,3
0.704675371,0.509962802,3
0.701775606,0.517783973,3
0.360690987,0.578202432,3
0.70283326,0.499278297,3
0.600032834,0.542818781,3
0.330397558,0.417632486,3
0.524587287,0.501602668,3
0.517598309,0.539016134,3
0.394336069,0.629283597,3
0.475703858,0.50581079,3
0.24516775,0.50983426,3
0.701647006,0.538427636,3
0.394074969,0.589883398,3
0.597536271,0.537458147,3
0.347873614,0.497945718,3
0.601444939,0.471459544,3
0.380500374,0.398998002,3
0.525637203,0.557358797,3
0.502870343,0.556323345,3
0.564346207,0.407772023,3
0.560019186,0.548906214,3
0.367792382,0.59403697,3
0.39597908,0.505921966,3
0.614583227,0.543553038,3
0.402742804,0.528670961,3
0.606810147,0.5565541,3
0.456076924,0.474132833,3
0.398421423,0.379776946,3
0.552661124,0.494980181,3
0.588313316,0.520328169,3
0.316417139,0.538047931,3
0.55774373,0.468979834,3
0.404514145,0.559743988,3
0.480074732,0.416087435,3
0.347979932,0.49832814,3
0.403763651,0.481478753,3
0.63798512,0.623950466,3
0.442397787,0.586172218,3
0.295223237,0.524853157,3
0.319117608,0.574899657,3
